Order Date,Segment,Country,State,Category,Sub-Category,Sales
8/11/2017,Consumer,United States,Kentucky,Furniture,Bookcases,261.96
8/11/2017,Consumer,United States,Kentucky,Furniture,Chairs,731.94
12/6/2017,Corporate,United States,California,Office Supplies,Labels,14.62
11/10/2016,Consumer,United States,Florida,Furniture,Tables,957.5775
11/10/2016,Consumer,United States,Florida,Office Supplies,Storage,22.368
9/6/2015,Consumer,United States,California,Furniture,Furnishings,48.86
9/6/2015,Consumer,United States,California,Office Supplies,Art,7.28
9/6/2015,Consumer,United States,California,Technology,Phones,907.152
9/6/2015,Consumer,United States,California,Office Supplies,Binders,18.504
9/6/2015,Consumer,United States,California,Office Supplies,Appliances,114.9
9/6/2015,Consumer,United States,California,Furniture,Tables,1706.184
9/6/2015,Consumer,United States,California,Technology,Phones,911.424
15/04/2018,Consumer,United States,North Carolina,Office Supplies,Paper,15.552
5/12/2017,Consumer,United States,Washington,Office Supplies,Binders,407.976
22/11/2016,Home Office,United States,Texas,Office Supplies,Appliances,68.81
22/11/2016,Home Office,United States,Texas,Office Supplies,Binders,2.544
11/11/2015,Consumer,United States,Wisconsin,Office Supplies,Storage,665.88
13/05/2015,Consumer,United States,Utah,Office Supplies,Storage,55.5
27/08/2015,Consumer,United States,California,Office Supplies,Art,8.56
27/08/2015,Consumer,United States,California,Technology,Phones,213.48
27/08/2015,Consumer,United States,California,Office Supplies,Binders,22.72
9/12/2017,Corporate,United States,Nebraska,Office Supplies,Art,19.46
9/12/2017,Corporate,United States,Nebraska,Office Supplies,Appliances,60.34
16/07/2018,Consumer,United States,Pennsylvania,Furniture,Chairs,71.372
25/09/2016,Consumer,United States,Utah,Furniture,Tables,1044.63
16/01/2017,Consumer,United States,California,Office Supplies,Binders,11.648
16/01/2017,Consumer,United States,California,Technology,Accessories,90.57
17/09/2016,Consumer,United States,Pennsylvania,Furniture,Bookcases,3083.43
17/09/2016,Consumer,United States,Pennsylvania,Office Supplies,Binders,9.618
17/09/2016,Consumer,United States,Pennsylvania,Furniture,Furnishings,124.2
17/09/2016,Consumer,United States,Pennsylvania,Office Supplies,Envelopes,3.264
17/09/2016,Consumer,United States,Pennsylvania,Office Supplies,Art,86.304
17/09/2016,Consumer,United States,Pennsylvania,Office Supplies,Binders,6.858
17/09/2016,Consumer,United States,Pennsylvania,Office Supplies,Art,15.76
19/10/2018,Home Office,United States,Texas,Office Supplies,Paper,29.472
8/12/2017,Corporate,United States,Texas,Technology,Phones,1097.544
8/12/2017,Corporate,United States,Texas,Furniture,Furnishings,190.92
27/12/2016,Home Office,United States,Texas,Office Supplies,Envelopes,113.328
27/12/2016,Home Office,United States,Texas,Furniture,Bookcases,532.3992
27/12/2016,Home Office,United States,Texas,Furniture,Chairs,212.058
27/12/2016,Home Office,United States,Texas,Technology,Phones,371.168
10/9/2018,Corporate,United States,Illinois,Technology,Phones,147.168
17/07/2017,Corporate,United States,California,Office Supplies,Storage,77.88
19/09/2018,Corporate,United States,Florida,Office Supplies,Storage,95.616
11/3/2017,Corporate,United States,Minnesota,Technology,Accessories,45.98
11/3/2017,Corporate,United States,Minnesota,Office Supplies,Binders,17.46
20/10/2015,Consumer,United States,Michigan,Office Supplies,Storage,211.96
20/06/2017,Consumer,United States,Delaware,Technology,Accessories,45
20/06/2017,Consumer,United States,Delaware,Technology,Phones,21.8
18/04/2016,Consumer,United States,Indiana,Office Supplies,Binders,38.22
18/04/2016,Consumer,United States,Indiana,Office Supplies,Labels,75.18
18/04/2016,Consumer,United States,Indiana,Furniture,Furnishings,6.16
18/04/2016,Consumer,United States,Indiana,Furniture,Chairs,89.99
11/12/2017,Corporate,United States,New York,Office Supplies,Fasteners,15.26
11/12/2017,Corporate,United States,New York,Technology,Phones,1029.95
17/06/2017,Consumer,United States,New York,Office Supplies,Storage,208.56
17/06/2017,Consumer,United States,New York,Office Supplies,Paper,32.4
17/06/2017,Consumer,United States,New York,Furniture,Chairs,319.41
17/06/2017,Consumer,United States,New York,Office Supplies,Paper,14.56
17/06/2017,Consumer,United States,New York,Technology,Accessories,30
17/06/2017,Consumer,United States,New York,Office Supplies,Binders,48.48
17/06/2017,Consumer,United States,New York,Office Supplies,Art,1.68
24/11/2016,Consumer,United States,California,Technology,Accessories,13.98
24/11/2016,Consumer,United States,California,Office Supplies,Binders,25.824
24/11/2016,Consumer,United States,California,Office Supplies,Paper,146.73
24/11/2016,Consumer,United States,California,Furniture,Furnishings,79.76
30/04/2016,Home Office,United States,Illinois,Furniture,Chairs,213.115
5/12/2015,Corporate,United States,Arizona,Office Supplies,Art,1113.024
5/12/2015,Corporate,United States,Arizona,Technology,Phones,167.968
4/6/2017,Consumer,United States,Virginia,Office Supplies,Paper,75.88
18/09/2017,Consumer,United States,New York,Office Supplies,Binders,4.616
14/09/2018,Consumer,United States,Michigan,Office Supplies,Paper,19.05
26/04/2016,Consumer,United States,Tennessee,Furniture,Chairs,831.936
26/04/2016,Consumer,United States,Tennessee,Furniture,Furnishings,97.04
26/04/2016,Consumer,United States,Tennessee,Office Supplies,Storage,72.784
9/12/2018,Corporate,United States,Texas,Office Supplies,Binders,1.248
9/12/2018,Corporate,United States,Texas,Furniture,Furnishings,9.708
9/12/2018,Corporate,United States,Texas,Office Supplies,Storage,27.24
26/11/2015,Consumer,United States,Texas,Furniture,Furnishings,19.3
12/6/2017,Corporate,United States,Alabama,Office Supplies,Appliances,208.16
12/6/2017,Corporate,United States,Alabama,Office Supplies,Binders,16.74
12/10/2015,Consumer,United States,California,Office Supplies,Art,14.9
12/10/2015,Consumer,United States,California,Office Supplies,Storage,21.39
3/9/2016,Corporate,United States,North Carolina,Office Supplies,Envelopes,200.984
13/11/2018,Home Office,United States,Illinois,Office Supplies,Storage,230.376
28/05/2018,Consumer,United States,South Carolina,Furniture,Chairs,301.96
26/10/2018,Consumer,United States,Minnesota,Technology,Accessories,19.99
26/10/2018,Consumer,United States,Minnesota,Office Supplies,Labels,6.16
5/4/2017,Home Office,United States,Texas,Office Supplies,Storage,158.368
17/09/2017,Corporate,United States,California,Office Supplies,Art,20.1
17/09/2017,Corporate,United States,California,Technology,Phones,73.584
17/09/2017,Corporate,United States,California,Office Supplies,Paper,6.48
31/01/2016,Consumer,United States,Minnesota,Office Supplies,Paper,12.96
